CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,1.2809,0.0037,0.0393,91.2,0.0394737887717913,3.6
9.0,0.8937,0.0028,0.0271,91.2,0.0272442654516505,3.6
12.6,0.6141,0.0024,0.0133,91.2,0.0135148066948809,3.6
16.2,0.4395,0.0012,0.0147,91.2,0.0147488982639382,3.6
19.8,0.328,0.0011,0.0123,91.2,0.0123490890352284,3.6
23.4,0.2588,0.0006,0.0101,91.2,0.0101178060863015,3.6
27.0,0.2115,0.0009,0.0071,91.2,0.0071568149340331,3.6
30.6,0.1794,0.0008,0.0045,91.2,0.0045705579528105,3.6
34.2,0.1557,0.0007,0.0027,91.2,0.0027892651361962,3.6
37.8,0.1394,0.0009,0.0025,91.2,0.0026570660511172,3.6
41.4,0.1267,0.0008,0.0025,91.2,0.0026248809496813,3.6
45.0,0.1163,0.0006,0.002,91.2,0.0020880613017821,3.6
48.6,0.1082,0.0005,0.0021,91.2,0.0021587033144922,3.6
52.2,0.1017,0.0005,0.002,91.2,0.0020615528128088,3.6
55.8,0.0956,0.0006,0.0018,91.2,0.001897366596101,3.6
59.4,0.091,0.0004,0.0018,91.2,0.0018439088914585,3.6
63.0,0.0889,0.0007,0.0018,91.2,0.0019313207915827,3.6
66.6,0.0857,0.0005,0.0016,91.2,0.001676305461424,3.6
70.2,0.0823,0.0005,0.0015,91.2,0.0015811388300841,3.6
73.8,0.081,0.0007,0.0015,91.2,0.0016552945357246,3.6
77.4,0.0792,0.0007,0.0014,91.2,0.0015652475842498,3.6
81.0,0.0789,0.0009,0.0014,91.2,0.0016643316977093,3.6
84.6,0.0788,0.0007,0.0014,91.2,0.0015652475842498,3.6
88.2,0.0795,0.0009,0.0015,91.2,0.0017492855684535,3.6
91.8,0.0808,0.0012,0.0015,91.2,0.0019209372712298,3.6
95.4,0.0817,0.0007,0.0016,91.2,0.0017464249196572,3.6
99.0,0.0824,0.0008,0.0016,91.2,0.0017888543819998,3.6
102.6,0.0857,0.001,0.0017,91.2,0.0019723082923316,3.6
106.2,0.0877,0.0008,0.0017,91.2,0.0018788294228055,3.6
109.8,0.0921,0.0009,0.0017,91.2,0.0019235384061671,3.6
113.4,0.0971,0.0008,0.0018,91.2,0.0019697715603592,3.6
117.0,0.103,0.0011,0.0018,91.2,0.0021095023109728,3.6
120.6,0.1102,0.0012,0.002,91.2,0.0023323807579381,3.6
124.2,0.1173,0.0011,0.002,91.2,0.0022825424421026,3.6
127.8,0.1273,0.0009,0.0021,91.2,0.0022847319317591,3.6
131.4,0.1411,0.0011,0.0025,91.2,0.0027313000567495,3.6
135.0,0.1543,0.0012,0.0024,91.2,0.0026832815729997,3.6
138.6,0.1729,0.0013,0.0026,91.2,0.0029068883707497,3.6
142.2,0.1972,0.0014,0.0032,91.2,0.0034928498393145,3.6
145.8,0.2249,0.0009,0.0036,91.2,0.0037107950630558,3.6
149.4,0.2682,0.0019,0.0053,91.2,0.0056302753041036,3.6
153.0,0.3183,0.003,0.0068,91.2,0.0074323616704248,3.6
156.6,0.3891,0.002,0.0067,91.2,0.0069921384425653,3.6
160.2,0.4873,0.0023,0.0096,91.2,0.0098716766559688,3.6
163.8,0.6312,0.002,0.0103,91.2,0.0104923781860929,3.6
167.4,0.825,0.0022,0.0095,91.2,0.009751410154434,3.6
171.0,1.0666,0.0055,0.0165,91.2,0.017392527130926,3.6
174.6,1.2404,0.0079,0.0284,91.2,0.029478297101427,3.6
178.2,0.7286,0.0069,0.0272,91.2,0.0280615395158569,3.6
