CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.152,0.0094,0.0084,14.0,0.01260634760745554,3.6
9.0,0.227,0.01,0.011,14.0,0.014866068747318505,3.6
12.6,0.302,0.012,0.015,14.0,0.019209372712298545,3.6
16.2,0.33,0.012,0.017,14.0,0.020808652046684813,3.6
19.8,0.335,0.011,0.017,14.0,0.020248456731316585,3.6
23.4,0.357,0.011,0.018,14.0,0.021095023109728987,3.6
27.0,0.336,0.01,0.017,14.0,0.01972308292331602,3.6
30.6,0.332,0.01,0.017,14.0,0.01972308292331602,3.6
34.2,0.319,0.01,0.016,14.0,0.018867962264113206,3.6
37.8,0.296,0.0094,0.015,14.0,0.017701977290687048,3.6
41.4,0.253,0.0084,0.013,14.0,0.015477725931156682,3.6
45.0,0.249,0.0084,0.012,14.0,0.014647866738880444,3.6
48.6,0.234,0.0084,0.012,14.0,0.014647866738880444,3.6
52.2,0.228,0.0074,0.011,14.0,0.01325745073534124,3.6
55.8,0.219,0.0074,0.011,14.0,0.01325745073534124,3.6
59.4,0.2,0.0074,0.01,14.0,0.01244025723206719,3.6
63.0,0.188,0.0064,0.0094,14.0,0.011371895180663599,3.6
66.6,0.195,0.0064,0.01,14.0,0.011872657663724664,3.6
70.2,0.189,0.0074,0.0094,14.0,0.011963277142990544,3.6
73.8,0.172,0.0064,0.0094,14.0,0.011371895180663599,3.6
77.4,0.166,0.0064,0.0084,14.0,0.010560303025955268,3.6
81.0,0.177,0.0064,0.0094,14.0,0.011371895180663599,3.6
84.6,0.186,0.0064,0.0094,14.0,0.011371895180663599,3.6
88.2,0.179,0.0064,0.0094,14.0,0.011371895180663599,3.6
91.8,0.177,0.0064,0.0094,14.0,0.011371895180663599,3.6
95.4,0.176,0.0064,0.0094,14.0,0.011371895180663599,3.6
99.0,0.199,0.0074,0.01,14.0,0.01244025723206719,3.6
102.6,0.186,0.0074,0.0094,14.0,0.011963277142990544,3.6
106.2,0.186,0.0064,0.0094,14.0,0.011371895180663599,3.6
109.8,0.208,0.0074,0.01,14.0,0.01244025723206719,3.6
113.4,0.207,0.0064,0.01,14.0,0.011872657663724664,3.6
117.0,0.209,0.0074,0.01,14.0,0.01244025723206719,3.6
120.6,0.227,0.0074,0.011,14.0,0.01325745073534124,3.6
124.2,0.235,0.0074,0.012,14.0,0.014098226838861687,3.6
127.8,0.265,0.0094,0.013,14.0,0.01604244370412438,3.6
131.4,0.274,0.0084,0.014,14.0,0.01632666530556684,3.6
135.0,0.303,0.0094,0.015,14.0,0.017701977290687048,3.6
138.6,0.328,0.0094,0.016,14.0,0.01855693940282179,3.6
142.2,0.365,0.01,0.018,14.0,0.020591260281974,3.6
145.8,0.391,0.011,0.02,14.0,0.022825424421026655,3.6
149.4,0.45,0.012,0.023,14.0,0.025942243542145693,3.6
153.0,0.449,0.013,0.022,14.0,0.025553864678361272,3.6
156.6,0.513,0.014,0.026,14.0,0.0295296461204668,3.6
160.2,0.548,0.016,0.027,14.0,0.031384709652950434,3.6
163.8,0.537,0.016,0.027,14.0,0.031384709652950434,3.6
167.4,0.578,0.021,0.029,14.0,0.03580502757993632,3.6
171.0,0.49,0.019,0.025,14.0,0.031400636936215164,3.6
174.6,0.372,0.02,0.019,14.0,0.02758622844826744,3.6
178.2,0.159,0.016,0.0084,14.0,0.018070971196922428,3.6
