dataset,Q,npts,norm_profile,chi2_shape,chi2_shape_per_point,used_in_shape_fit
TASSO_220,22.0,9,79.52855678972143,25.522680953646365,2.8358534392940404,True
MAC,29.0,7,81.55029518782719,91.90772546441795,13.129675066345422,True
MARK II,29.0,7,80.96351886369217,244.1978165180485,34.88540235972122,True
TASSO_348,34.8,5,73.34183140812968,8.972620562949643,1.7945241125899287,True
TASSO_435,43.5,4,67.69153008587111,12.897602058804672,3.224400514701168,True
TOPAZ_533,53.3,3,72.50818406894871,4.439200998918521,1.4797336663061735,True
TOPAZ_595,59.5,3,73.04516485355948,15.167031265466168,5.055677088488722,True
OPAL_new,91.2,8,79.8461401566683,61.1352041615749,7.641900520196862,True
