dataset,Q,chi_deg,data,error,theory_raw,theory_profiled,norm_profile,chi2_shape_dataset,used_in_shape_fit,theory_profiled_std
MAC,29.0,27.0,0.36,0.01,0.0035131117619564257,0.2864953012153742,81.55029518782719,91.90772546441795,True,0.0024746367711858718
MARK II,29.0,5.4,0.468,0.0090620086073673,0.004958944826649549,0.4014936230164495,80.96351886369217,244.1978165180485,True,0.003947175937776756
MARK II,29.0,9.0,0.576,0.0111946415753252,0.007557039517568042,0.6118445115342873,80.96351886369217,244.1978165180485,True,0.005044481894032591
MARK II,29.0,12.6,0.589,0.0104651803615609,0.008084530071878341,0.6545520029786087,80.96351886369217,244.1978165180485,True,0.004177033358937791
MARK II,29.0,16.2,0.557,0.0086092973000123,0.007373753996137503,0.5970050707625042,80.96351886369217,244.1978165180485,True,0.0026345676454240514
MARK II,29.0,19.8,0.489,0.0072470683727973,0.006155507113366561,0.4983715162886449,80.96351886369217,244.1978165180485,True,0.002500245356555988
MARK II,29.0,23.4,0.405,0.0063812224534175,0.004817670656472749,0.39005556907438765,80.96351886369217,244.1978165180485,True,0.002874165282361272
MARK II,29.0,27.0,0.347,0.0059093146810776,0.0035131117619564257,0.2844338904094179,80.96351886369217,244.1978165180485,True,0.0024949878834936005
TASSO_348,34.8,5.4,0.541,0.0279957139576757,0.006823297068289654,0.5004331032300853,73.34183140812968,8.972620562949643,True,0.004324282296010099
TASSO_348,34.8,9.0,0.642,0.0326337248869938,0.009358494258574192,0.6863691081462979,73.34183140812968,8.972620562949643,True,0.004258076760835684
TASSO_348,34.8,12.6,0.623,0.0314668079092875,0.009004599391234686,0.6604138104496814,73.34183140812968,8.972620562949643,True,0.003395490836650763
TASSO_348,34.8,16.2,0.533,0.0273561693224764,0.007387227978228815,0.5417928289526764,73.34183140812968,8.972620562949643,True,0.0029029406917011847
TASSO_348,34.8,19.8,0.446,0.0222611769679862,0.0055126715441907595,0.4043094270024326,73.34183140812968,8.972620562949643,True,0.0031776575607615457
TASSO_435,43.5,5.4,0.708,0.0398246155034797,0.009945401429257095,0.6732194400646221,67.69153008587111,12.897602058804672,True,0.005881279144630161
TASSO_435,43.5,9.0,0.723,0.0382753184180092,0.01131444398297193,0.7658920252782477,67.69153008587111,12.897602058804672,True,0.004237591376231938
TASSO_435,43.5,12.6,0.571,0.0310161248385416,0.009263304654903147,0.6270472657419662,67.69153008587111,12.897602058804672,True,0.00301558450978769
TASSO_435,43.5,16.2,0.513,0.0273232501727009,0.006464724587432857,0.43760709890708194,67.69153008587111,12.897602058804672,True,0.0032766606058722593
TOPAZ_533,53.3,5.4,0.993,0.0458985664264146,0.013142197741174073,0.9529168928875716,72.50818406894871,4.439200998918521,True,0.007067315001153097
TOPAZ_533,53.3,9.0,0.839,0.0363630801775647,0.012376632805868757,0.897407169641721,72.50818406894871,4.439200998918521,True,0.0035057763693197184
TOPAZ_533,53.3,12.6,0.642,0.0297399125755271,0.008424658661996261,0.6108567009820881,72.50818406894871,4.439200998918521,True,0.004205190234040809
TOPAZ_595,59.5,5.4,1.037,0.0494933369252872,0.014847881699766342,1.0845659664855816,73.04516485355948,15.167031265466168,True,0.007555444249725644
TOPAZ_595,59.5,9.0,0.85,0.0380131556174964,0.012478512200541891,0.9114949808157358,73.04516485355948,15.167031265466168,True,0.004144798198913299
TOPAZ_595,59.5,12.6,0.654,0.0311984871428087,0.00749702128259551,0.547621155497833,73.04516485355948,15.167031265466168,True,0.004525552694319765
OPAL_new,91.2,1.5,0.933,0.22,0.011468718847542914,0.9157329325183348,79.8461401566683,61.1352041615749,True,0.0122334465734493
OPAL_new,91.2,2.5,1.289,0.088,0.01817498951331006,1.4512027600257316,79.8461401566683,61.1352041615749,True,0.017007285997742788
OPAL_new,91.2,3.5,1.383,0.169,0.02141108353628456,1.70959237694431,79.8461401566683,61.1352041615749,True,0.01714967045325206
OPAL_new,91.2,4.5,1.34,0.157,0.02127216404623239,1.6985001918711116,79.8461401566683,61.1352041615749,True,0.01501831263680164
OPAL_new,91.2,5.5,1.258,0.087,0.019248039339123977,1.5368816468127582,79.8461401566683,61.1352041615749,True,0.009616959813493586
OPAL_new,91.2,6.5,1.149,0.058,0.016543501102107054,1.3209347076808362,79.8461401566683,61.1352041615749,True,0.008480880966520388
OPAL_new,91.2,7.5,1.037,0.035,0.013182957938342756,1.0526083072243786,79.8461401566683,61.1352041615749,True,0.0057246173484681254
OPAL_new,91.2,8.5,0.933,0.021,0.010255977419116389,0.8189002104503924,79.8461401566683,61.1352041615749,True,0.003900598863933725
