dataset,Q,chi_deg,data,error,theory_raw,theory_profiled,norm_profile,chi2_shape_dataset,used_in_shape_fit,theory_profiled_std
TASSO_220,22.0,5.4,0.285,0.0197989898732233,0.00305306705490783,0.24280601665906493,79.52855678972143,25.522680953646365,True,0.0023661824834481635
TASSO_220,22.0,9.0,0.423,0.0258069758011278,0.004897803358924816,0.38951523257514065,79.52855678972143,25.522680953646365,True,0.0033661323299605693
TASSO_220,22.0,12.6,0.48,0.0283019433961698,0.006154479829517273,0.4894568986329595,79.52855678972143,25.522680953646365,True,0.0036777093685746278
TASSO_220,22.0,16.2,0.466,0.0264196896272458,0.006400376220801882,0.5090126837516251,79.52855678972143,25.522680953646365,True,0.00310206349401716
TASSO_220,22.0,19.8,0.455,0.0264196896272458,0.006066671292957711,0.48247361244656006,79.52855678972143,25.522680953646365,True,0.0023383560992350917
TASSO_220,22.0,23.4,0.388,0.0219544984001001,0.005406925298296794,0.4300049656433781,79.52855678972143,25.522680953646365,True,0.001914068864869392
TASSO_220,22.0,27.0,0.362,0.020591260281974,0.004651321763603079,0.3699129070239747,79.52855678972143,25.522680953646365,True,0.002518354808093385
TASSO_220,22.0,30.6,0.308,0.017701977290687,0.0037759369950582673,0.3002948197459015,79.52855678972143,25.522680953646365,True,0.002353240825453316
TASSO_220,22.0,34.2,0.299,0.0171918585382732,0.0030279793678694897,0.24081082911571353,79.52855678972143,25.522680953646365,True,0.002072886885904457
MAC,29.0,5.4,0.43,0.021,0.004958944826649549,0.40440341443341926,81.55029518782719,91.90772546441795,True,0.00435676353870971
MAC,29.0,9.0,0.58,0.025,0.007557039517568042,0.616278803403749,81.55029518782719,91.90772546441795,True,0.0057347212649884365
MAC,29.0,12.6,0.589,0.019,0.008084530071878341,0.6592958138165445,81.55029518782719,91.90772546441795,True,0.004684841102461651
MAC,29.0,16.2,0.56,0.013,0.007373753996137503,0.6013318150274337,81.55029518782719,91.90772546441795,True,0.0024088906757235157
MAC,29.0,19.8,0.493,0.01,0.006155507113366561,0.5019834221258132,81.55029518782719,91.90772546441795,True,0.00199698136810777
MAC,29.0,23.4,0.424,0.01,0.004817670656472749,0.39288246415308586,81.55029518782719,91.90772546441795,True,0.002660065618835969
