CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.541,0.0074,0.027,34.8,0.027995713957675736,3.6
9.0,0.642,0.0064,0.032,34.8,0.03263372488699382,3.6
12.6,0.623,0.0054,0.031,34.8,0.03146680790928753,3.6
16.2,0.533,0.0044,0.027,34.8,0.027356169322476417,3.6
19.8,0.446,0.0034,0.022,34.8,0.022261176967986216,3.6
23.4,0.372,0.0034,0.019,34.8,0.01930181338631166,3.6
27.0,0.314,0.0024,0.016,34.8,0.016178998732925345,3.6
30.6,0.268,0.0024,0.013,34.8,0.013219682295728593,3.6
34.2,0.232,0.0024,0.012,34.8,0.012237646832622684,3.6
37.8,0.205,0.0024,0.01,34.8,0.010283968105745953,3.6
41.4,0.183,0.0024,0.0094,34.8,0.009701546268507923,3.6
45.0,0.169,0.0014,0.0084,34.8,0.008515867542417507,3.6
48.6,0.151,0.0024,0.0084,34.8,0.00873613186713662,3.6
52.2,0.141,0.0024,0.0074,34.8,0.00777946013551069,3.6
55.8,0.131,0.0024,0.0074,34.8,0.00777946013551069,3.6
59.4,0.127,0.0014,0.0064,34.8,0.00655133574166368,3.6
63.0,0.122,0.0014,0.0064,34.8,0.00655133574166368,3.6
66.6,0.118,0.0014,0.0064,34.8,0.00655133574166368,3.6
70.2,0.115,0.0014,0.0064,34.8,0.00655133574166368,3.6
73.8,0.112,0.0014,0.0064,34.8,0.00655133574166368,3.6
77.4,0.111,0.0014,0.0064,34.8,0.00655133574166368,3.6
81.0,0.111,0.0014,0.0064,34.8,0.00655133574166368,3.6
84.6,0.11,0.0014,0.0054,34.8,0.005578530272392542,3.6
88.2,0.111,0.0014,0.0064,34.8,0.00655133574166368,3.6
91.8,0.111,0.0014,0.0064,34.8,0.00655133574166368,3.6
95.4,0.112,0.0014,0.0064,34.8,0.00655133574166368,3.6
99.0,0.115,0.0014,0.0064,34.8,0.00655133574166368,3.6
102.6,0.117,0.0014,0.0064,34.8,0.00655133574166368,3.6
106.2,0.122,0.0014,0.0064,34.8,0.00655133574166368,3.6
109.8,0.124,0.0014,0.0064,34.8,0.00655133574166368,3.6
113.4,0.133,0.0014,0.0074,34.8,0.007531268153505092,3.6
117.0,0.138,0.0024,0.0074,34.8,0.00777946013551069,3.6
120.6,0.145,0.0024,0.0074,34.8,0.00777946013551069,3.6
124.2,0.157,0.0024,0.0084,34.8,0.00873613186713662,3.6
127.8,0.171,0.0024,0.0094,34.8,0.009701546268507923,3.6
131.4,0.191,0.0024,0.01,34.8,0.010283968105745953,3.6
135.0,0.208,0.0024,0.01,34.8,0.010283968105745953,3.6
138.6,0.229,0.0024,0.011,34.8,0.011258774356030055,3.6
142.2,0.265,0.0024,0.013,34.8,0.013219682295728593,3.6
145.8,0.302,0.0034,0.015,34.8,0.015380507143784304,3.6
149.4,0.355,0.0034,0.018,34.8,0.018318296864064627,3.6
153.0,0.404,0.0034,0.02,34.8,0.020286941612771503,3.6
156.6,0.487,0.0044,0.024,34.8,0.024399999999999998,3.6
160.2,0.574,0.0044,0.029,34.8,0.0293318939040765,3.6
163.8,0.682,0.0054,0.034,34.8,0.03442615284925111,3.6
167.4,0.792,0.0064,0.04,34.8,0.040508764483750924,3.6
171.0,0.871,0.0074,0.044,34.8,0.04461793361418702,3.6
174.6,0.755,0.0084,0.038,34.8,0.03891734831665693,3.6
178.2,0.383,0.0074,0.019,34.8,0.020390193721492693,3.6
