CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.993,0.023,0.03972,53.3,0.04589856642641467,3.6
9.0,0.839,0.014,0.03356,53.3,0.03636308017756471,3.6
12.6,0.642,0.015,0.02568,53.3,0.029739912575527185,3.6
16.2,0.474,0.011,0.01896,53.3,0.021919890510675458,3.6
19.8,0.376,0.01,0.01504,53.3,0.01806105201808577,3.6
23.4,0.298,0.0074,0.01192,53.3,0.014030196007183934,3.6
27.0,0.25,0.0074,0.01,53.3,0.01244025723206719,3.6
30.6,0.204,0.0064,0.00816,53.3,0.010370419470783234,3.6
34.2,0.173,0.0064,0.00692,53.3,0.009425836832875902,3.6
37.8,0.167,0.0054,0.00668,53.3,0.008589668212451515,3.6
41.4,0.138,0.0044,0.00552,53.3,0.007059065093905849,3.6
45.0,0.128,0.0044,0.00512,53.3,0.00675088142393273,3.6
48.6,0.122,0.0034,0.00488,53.3,0.005947638186709073,3.6
52.2,0.122,0.0044,0.00488,53.3,0.006570722943481942,3.6
55.8,0.101,0.0034,0.00404,53.3,0.0052803030216077565,3.6
59.4,0.104,0.0044,0.00416,53.3,0.006055212630453203,3.6
63.0,0.098,0.0044,0.00392,53.3,0.005892910995424927,3.6
66.6,0.106,0.0054,0.00424,53.3,0.006865682777408231,3.6
70.2,0.095,0.0044,0.0038,53.3,0.0058137767414994535,3.6
73.8,0.098,0.0044,0.00392,53.3,0.005892910995424927,3.6
77.4,0.099,0.0044,0.00396,53.3,0.005919594580712432,3.6
81.0,0.093,0.0044,0.00372,53.3,0.005761805272655438,3.6
84.6,0.092,0.0044,0.00368,53.3,0.005736061366477873,3.6
88.2,0.092,0.0054,0.00368,53.3,0.006534707338511802,3.6
91.8,0.106,0.0044,0.00424,53.3,0.006110450065257059,3.6
95.4,0.103,0.0044,0.00412,53.3,0.0060278022528945,3.6
99.0,0.104,0.0044,0.00416,53.3,0.006055212630453203,3.6
102.6,0.102,0.0054,0.00408,53.3,0.006768042553057716,3.6
106.2,0.11,0.0044,0.0044,53.3,0.006222539674441618,3.6
109.8,0.119,0.0054,0.00476,53.3,0.007198444276369722,3.6
113.4,0.119,0.0054,0.00476,53.3,0.007198444276369722,3.6
117.0,0.117,0.0054,0.00468,53.3,0.007145795966860515,3.6
120.6,0.129,0.0064,0.00516,53.3,0.00822104616213776,3.6
124.2,0.133,0.0074,0.00532,53.3,0.009113857580629622,3.6
127.8,0.133,0.0074,0.00532,53.3,0.009113857580629622,3.6
131.4,0.144,0.0064,0.00576,53.3,0.008610319390127175,3.6
135.0,0.167,0.0094,0.00668,53.3,0.011531799512651961,3.6
138.6,0.207,0.01,0.00828,53.3,0.012983004274820216,3.6
142.2,0.226,0.01,0.00904,53.3,0.013480415423865839,3.6
145.8,0.251,0.0094,0.01004,53.3,0.013753603164262084,3.6
149.4,0.291,0.012,0.01164,53.3,0.016717942457132696,3.6
153.0,0.358,0.013,0.01432,53.3,0.01934069285211882,3.6
156.6,0.453,0.016,0.01812,53.3,0.02417300974227248,3.6
160.2,0.556,0.013,0.02224,53.3,0.0257607763858157,3.6
163.8,0.705,0.015,0.0282,53.3,0.031941195970094795,3.6
167.4,0.825,0.018,0.033,53.3,0.037589892258425,3.6
171.0,1.033,0.028,0.04132,53.3,0.04991334891589624,3.6
174.6,1.119,0.038,0.04476,53.3,0.05871505428763563,3.6
178.2,0.556,0.03,0.02224,53.3,0.03734457925857513,3.6
