CHI,EEC,STAT,Q,ERROR,BinSize
78.5,0.077,0.0008,91.2,0.0008,1.0
79.5,0.0766,0.0011,91.2,0.0011,1.0
80.5,0.0777,0.0019,91.2,0.0019,1.0
81.5,0.0771,0.0022,91.2,0.0022,1.0
82.5,0.0774,0.0017,91.2,0.0017,1.0
83.5,0.0767,0.0018,91.2,0.0018,1.0
84.5,0.0764,0.0007,91.2,0.0007,1.0
85.5,0.0775,0.0014,91.2,0.0014,1.0
86.5,0.0775,0.0019,91.2,0.0019,1.0
87.5,0.0767,0.0016,91.2,0.0016,1.0
88.5,0.078,0.0024,91.2,0.0024,1.0
89.5,0.0785,0.0019,91.2,0.0019,1.0
115.5,0.0995,0.0014,91.2,0.0014,1.0
116.5,0.1013,0.0021,91.2,0.0021,1.0
117.5,0.1025,0.003,91.2,0.003,1.0
118.5,0.105,0.0029,91.2,0.0029,1.0
119.5,0.1054,0.0029,91.2,0.0029,1.0
120.5,0.1073,0.0008,91.2,0.0008,1.0
121.5,0.1103,0.0009,91.2,0.0009,1.0
122.5,0.1121,0.0016,91.2,0.0016,1.0
123.5,0.1148,0.0026,91.2,0.0026,1.0
124.5,0.1175,0.0017,91.2,0.0017,1.0
125.5,0.1189,0.0019,91.2,0.0019,1.0
126.5,0.1233,0.0035,91.2,0.0035,1.0
127.5,0.1247,0.0012,91.2,0.0012,1.0
128.5,0.1275,0.004,91.2,0.004,1.0
129.5,0.1313,0.0055,91.2,0.0055,1.0
130.5,0.136,0.0015,91.2,0.0015,1.0
131.5,0.14,0.0015,91.2,0.0015,1.0
132.5,0.1417,0.0017,91.2,0.0017,1.0
133.5,0.1467,0.0038,91.2,0.0038,1.0
134.5,0.1513,0.0014,91.2,0.0014,1.0
135.5,0.1557,0.0026,91.2,0.0026,1.0
136.5,0.1621,0.0019,91.2,0.0019,1.0
137.5,0.1669,0.0013,91.2,0.0013,1.0
138.5,0.1721,0.0027,91.2,0.0027,1.0
139.5,0.1781,0.001,91.2,0.001,1.0
140.5,0.1856,0.0012,91.2,0.0012,1.0
141.5,0.1903,0.0023,91.2,0.0023,1.0
142.5,0.1992,0.0023,91.2,0.0023,1.0
143.5,0.208,0.0014,91.2,0.0014,1.0
144.5,0.2157,0.0031,91.2,0.0031,1.0
145.5,0.226,0.0047,91.2,0.0047,1.0
146.5,0.2356,0.0031,91.2,0.0031,1.0
147.5,0.2428,0.0038,91.2,0.0038,1.0
148.5,0.2546,0.0032,91.2,0.0032,1.0
149.5,0.2693,0.0036,91.2,0.0036,1.0
150.5,0.2827,0.0056,91.2,0.0056,1.0
151.5,0.2982,0.0061,91.2,0.0061,1.0
152.5,0.3128,0.0055,91.2,0.0055,1.0
153.5,0.3317,0.0072,91.2,0.0072,1.0
154.5,0.3509,0.009,91.2,0.009,1.0
155.5,0.3694,0.0086,91.2,0.0086,1.0
156.5,0.394,0.012,91.2,0.012,1.0
157.5,0.421,0.014,91.2,0.014,1.0
158.5,0.444,0.013,91.2,0.013,1.0
159.5,0.4724,0.0064,91.2,0.0064,1.0
160.5,0.5094,0.0046,91.2,0.0046,1.0
161.5,0.5455,0.0083,91.2,0.0083,1.0
162.5,0.5864,0.0088,91.2,0.0088,1.0
163.5,0.631,0.011,91.2,0.011,1.0
164.5,0.684,0.016,91.2,0.016,1.0
165.5,0.734,0.019,91.2,0.019,1.0
166.5,0.786,0.022,91.2,0.022,1.0
167.5,0.8519,0.0056,91.2,0.0056,1.0
168.5,0.922,0.017,91.2,0.017,1.0
169.5,0.994,0.016,91.2,0.016,1.0
170.5,1.064,0.006,91.2,0.006,1.0
171.5,1.146,0.01,91.2,0.01,1.0
172.5,1.209,0.012,91.2,0.012,1.0
173.5,1.273,0.026,91.2,0.026,1.0
174.5,1.296,0.047,91.2,0.047,1.0
175.5,1.284,0.058,91.2,0.058,1.0
176.5,1.216,0.093,91.2,0.093,1.0
177.5,1.038,0.047,91.2,0.047,1.0
178.5,0.71,0.08,91.2,0.08,1.0
179.5,0.255,0.019,91.2,0.019,1.0
