CHI,EEC,STAT,Q,ERROR,BinSize
1.5,0.933,0.22,91.2,0.22,1.0
2.5,1.289,0.088,91.2,0.088,1.0
3.5,1.383,0.169,91.2,0.169,1.0
4.5,1.34,0.157,91.2,0.157,1.0
5.5,1.258,0.087,91.2,0.087,1.0
6.5,1.149,0.058,91.2,0.058,1.0
7.5,1.037,0.035,91.2,0.035,1.0
8.5,0.933,0.021,91.2,0.021,1.0
9.5,0.839,0.022,91.2,0.022,1.0
10.5,0.758,0.025,91.2,0.025,1.0
11.5,0.69,0.02,91.2,0.02,1.0
12.5,0.626,0.014,91.2,0.014,1.0
13.5,0.568,0.013,91.2,0.013,1.0
14.5,0.5193,0.0092,91.2,0.0092,1.0
15.5,0.4732,0.0045,91.2,0.0045,1.0
16.5,0.433,0.012,91.2,0.012,1.0
17.5,0.396,0.014,91.2,0.014,1.0
18.5,0.3662,0.0095,91.2,0.0095,1.0
19.5,0.3367,0.0051,91.2,0.0051,1.0
20.5,0.3103,0.0064,91.2,0.0064,1.0
21.5,0.288,0.011,91.2,0.011,1.0
22.5,0.269,0.0073,91.2,0.0073,1.0
23.5,0.2526,0.0054,91.2,0.0054,1.0
24.5,0.2372,0.0057,91.2,0.0057,1.0
25.5,0.2239,0.0088,91.2,0.0088,1.0
26.5,0.2119,0.0044,91.2,0.0044,1.0
27.5,0.2011,0.0024,91.2,0.0024,1.0
28.5,0.1927,0.0038,91.2,0.0038,1.0
29.5,0.1835,0.0035,91.2,0.0035,1.0
30.5,0.1753,0.002,91.2,0.002,1.0
31.5,0.1678,0.0024,91.2,0.0024,1.0
32.5,0.1617,0.0025,91.2,0.0025,1.0
33.5,0.1564,0.003,91.2,0.003,1.0
34.5,0.1494,0.0017,91.2,0.0017,1.0
35.5,0.1447,0.0013,91.2,0.0013,1.0
36.5,0.1409,0.003,91.2,0.003,1.0
37.5,0.1367,0.0012,91.2,0.0012,1.0
38.5,0.1316,0.0021,91.2,0.0021,1.0
39.5,0.1281,0.0011,91.2,0.0011,1.0
40.5,0.1261,0.0013,91.2,0.0013,1.0
41.5,0.1224,0.0023,91.2,0.0023,1.0
42.5,0.1191,0.0021,91.2,0.0021,1.0
43.5,0.116,0.0019,91.2,0.0019,1.0
44.5,0.1133,0.0009,91.2,0.0009,1.0
45.5,0.1103,0.0021,91.2,0.0021,1.0
46.5,0.1091,0.0024,91.2,0.0024,1.0
47.5,0.1058,0.0016,91.2,0.0016,1.0
48.5,0.1048,0.0025,91.2,0.0025,1.0
49.5,0.1029,0.0019,91.2,0.0019,1.0
50.5,0.1001,0.0014,91.2,0.0014,1.0
51.5,0.0992,0.0015,91.2,0.0015,1.0
52.5,0.0965,0.0009,91.2,0.0009,1.0
53.5,0.0956,0.0013,91.2,0.0013,1.0
54.5,0.0937,0.0013,91.2,0.0013,1.0
55.5,0.093,0.0014,91.2,0.0014,1.0
56.5,0.0918,0.0009,91.2,0.0009,1.0
57.5,0.0903,0.002,91.2,0.002,1.0
58.5,0.0892,0.0017,91.2,0.0017,1.0
59.5,0.088,0.001,91.2,0.001,1.0
60.5,0.0869,0.0019,91.2,0.0019,1.0
61.5,0.0866,0.0011,91.2,0.0011,1.0
62.5,0.0852,0.001,91.2,0.001,1.0
63.5,0.0852,0.001,91.2,0.001,1.0
64.5,0.084,0.0013,91.2,0.0013,1.0
65.5,0.083,0.0013,91.2,0.0013,1.0
66.5,0.0822,0.0013,91.2,0.0013,1.0
67.5,0.0816,0.0013,91.2,0.0013,1.0
68.5,0.0813,0.001,91.2,0.001,1.0
69.5,0.0807,0.0019,91.2,0.0019,1.0
70.5,0.0797,0.001,91.2,0.001,1.0
71.5,0.0782,0.0018,91.2,0.0018,1.0
72.5,0.0788,0.0023,91.2,0.0023,1.0
73.5,0.0795,0.002,91.2,0.002,1.0
74.5,0.0786,0.0024,91.2,0.0024,1.0
75.5,0.0781,0.0016,91.2,0.0016,1.0
76.5,0.0783,0.0008,91.2,0.0008,1.0
77.5,0.0784,0.0013,91.2,0.0013,1.0
