CHI,EEC,STAT,SYS,Q,ERROR,BinSize
5.4,0.708,0.019,0.035,43.5,0.03982461550347976,3.6
9.0,0.723,0.013,0.036,43.5,0.03827531841800927,3.6
12.6,0.571,0.011,0.029,43.5,0.031016124838541645,3.6
16.2,0.513,0.0084,0.026,43.5,0.027323250172700903,3.6
19.8,0.408,0.0074,0.02,43.5,0.021325102578885757,3.6
23.4,0.333,0.0064,0.017,43.5,0.018164801127455263,3.6
27.0,0.282,0.0054,0.014,43.5,0.015005332385522156,3.6
30.6,0.245,0.0044,0.012,43.5,0.012781236246936367,3.6
34.2,0.211,0.0044,0.011,43.5,0.011847362575695908,3.6
37.8,0.184,0.0044,0.0094,43.5,0.010378824596263297,3.6
41.4,0.163,0.0034,0.0084,43.5,0.009062008607367352,3.6
45.0,0.151,0.0044,0.0084,43.5,0.009482615672903759,3.6
48.6,0.14,0.0034,0.0074,43.5,0.008143709228600932,3.6
52.2,0.13,0.0034,0.0064,43.5,0.007247068372797375,3.6
55.8,0.121,0.0034,0.0064,43.5,0.007247068372797375,3.6
59.4,0.124,0.0034,0.0064,43.5,0.007247068372797375,3.6
63.0,0.113,0.0034,0.0064,43.5,0.007247068372797375,3.6
66.6,0.112,0.0034,0.0064,43.5,0.007247068372797375,3.6
70.2,0.11,0.0044,0.0064,43.5,0.00776659513557904,3.6
73.8,0.109,0.0034,0.0054,43.5,0.006381222453417527,3.6
77.4,0.109,0.0044,0.0054,43.5,0.0069656299069072,3.6
81.0,0.108,0.0044,0.0054,43.5,0.0069656299069072,3.6
84.6,0.106,0.0044,0.0054,43.5,0.0069656299069072,3.6
88.2,0.105,0.0034,0.0054,43.5,0.006381222453417527,3.6
91.8,0.108,0.0034,0.0054,43.5,0.006381222453417527,3.6
95.4,0.111,0.0044,0.0064,43.5,0.00776659513557904,3.6
99.0,0.115,0.0044,0.0064,43.5,0.00776659513557904,3.6
102.6,0.113,0.0044,0.0064,43.5,0.00776659513557904,3.6
106.2,0.116,0.0044,0.0064,43.5,0.00776659513557904,3.6
109.8,0.121,0.0044,0.0064,43.5,0.00776659513557904,3.6
113.4,0.126,0.0044,0.0064,43.5,0.00776659513557904,3.6
117.0,0.136,0.0044,0.0074,43.5,0.008609297300012354,3.6
120.6,0.145,0.0044,0.0074,43.5,0.008609297300012354,3.6
124.2,0.153,0.0044,0.0084,43.5,0.009482615672903759,3.6
127.8,0.168,0.0054,0.0084,43.5,0.009985990186255941,3.6
131.4,0.182,0.0054,0.0094,43.5,0.010840664186294122,3.6
135.0,0.197,0.0054,0.01,43.5,0.011364858116140299,3.6
138.6,0.224,0.0054,0.011,43.5,0.012253978945632312,3.6
142.2,0.246,0.0054,0.012,43.5,0.013159027319676785,3.6
145.8,0.276,0.0064,0.014,43.5,0.015393505123915087,3.6
149.4,0.337,0.0064,0.017,43.5,0.018164801127455263,3.6
153.0,0.39,0.0074,0.02,43.5,0.021325102578885757,3.6
156.6,0.456,0.0084,0.023,43.5,0.024485914318236105,3.6
160.2,0.561,0.0094,0.028,43.5,0.0295357410606201,3.6
163.8,0.681,0.011,0.034,43.5,0.03573513677041128,3.6
167.4,0.794,0.014,0.04,43.5,0.04237924020083418,3.6
171.0,0.897,0.018,0.045,43.5,0.04846648326421053,3.6
174.6,0.846,0.022,0.042,43.5,0.047413078364518794,3.6
178.2,0.418,0.021,0.021,43.5,0.029698484809835,3.6
