pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
19.6,0.0303336,0.0303336,0.0,0.9,200,0.0272,0.015,0.0013
19.6,0.0547793,0.0547793,0.0,0.9,200,0.0370,0.014,0.0022
19.6,0.0772201,0.0772201,0.0,0.9,200,0.0523,0.010,0.0026
19.6,0.108865,0.108865,0.0,0.9,200,0.0608,0.008,0.0033
19.6,0.147102,0.147102,0.0,0.9,200,0.0621,0.008,0.0031
19.6,0.183561,0.18378,0.0,0.9,200,0.0557,0.009,0.0031
19.6,0.221814,0.222177,0.0,0.9,200,0.0377,0.009,0.0031
19.6,0.263747,0.264053,0.0,0.9,200,0.018,0.012,0.004
19.6,0.313824,0.314601,0.0,0.9,200,0.0212,0.011,0.0007
19.6,0.466295,0.466562,0.0,0.9,200,0.0000,0.009,0.0005
