pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
6.9,0.026905,0.0296659,0.0,0.9,200,0.018,0.031,0.011
6.9,0.0518388,0.055505,0.0,0.9,200,0.012,0.032,0.010
6.9,0.074705,0.0807687,0.0,0.9,200,-0.037,0.022,0.007
6.9,0.109237,0.110691,0.0,0.9,200,-0.0123,0.016,0.0010
6.9,0.147784,0.148595,0.0,0.9,200,0.0102,0.013,0.0033
6.9,0.184219,0.185523,0.0,0.9,200,-0.0055,0.013,0.0027
6.9,0.22182,0.224165,0.0,0.9,200,0.025,0.011,0.005
6.9,0.262449,0.265658,0.0,0.9,200,0.0220,0.011,0.0025
6.9,0.316149,0.316919,0.0,0.9,200,0.0123,0.010,0.0023
6.9,0.504741,0.505319,0.0,0.9,200,-0.0014,0.005,0.0004
