pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
8.9,0.027588,0.0289829,0.0,0.9,200,-0.0059,0.015,0.0010
8.9,0.0536755,0.0544123,0.0,0.9,200,0.0074,0.015,0.0015
8.9,0.0769643,0.0779943,0.0,0.9,200,0.0046,0.011,0.0014
8.9,0.109051,0.109782,0.0,0.9,200,0.0011,0.007,0.0006
8.9,0.148055,0.148595,0.0,0.9,200,0.00463,0.006,0.00025
8.9,0.184328,0.185631,0.0,0.9,200,0.0120,0.007,0.0023
8.9,0.223265,0.224525,0.0,0.9,200,0.0185,0.005,0.0029
8.9,0.264437,0.265048,0.0,0.9,200,0.0094,0.006,0.0012
8.9,0.31602,0.316405,0.0,0.9,200,-0.0027,0.005,0.0006
8.9,0.494218,0.494892,0.0,0.9,200,0.0082,0.0030,0.0009
