pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
15.2,0.0296659,0.0296659,0.0,0.9,200,0.0276,0.017,0.0011
15.2,0.0547793,0.0547793,0.0,0.9,200,0.0351,0.017,0.0017
15.2,0.0772218,0.0777369,0.0,0.9,200,0.0393,0.012,0.0013
15.2,0.109234,0.109599,0.0,0.9,200,0.0346,0.009,0.0013
15.2,0.147511,0.147783,0.0,0.9,200,0.0495,0.008,0.0016
15.2,0.183889,0.184108,0.0,0.9,200,0.0383,0.009,0.0027
15.2,0.22263,0.222812,0.0,0.9,200,0.0336,0.008,0.0026
15.2,0.264284,0.264742,0.0,0.9,200,0.0296,0.010,0.0022
15.2,0.314343,0.315375,0.0,0.9,200,0.0268,0.009,0.0028
15.2,0.47165,0.471826,0.0,0.9,200,0.0134,0.007,0.0006
