pT,θ_lo,θ_hi,η_lo,η_hi,sqrts,AUT,error_stat,error_sys
11.1,0.027588,0.0289829,0.0,0.9,200,-0.0013,0.016,0.0029
11.1,0.0540453,0.0547793,0.0,0.9,200,-0.019,0.016,0.004
11.1,0.0772218,0.0777369,0.0,0.9,200,0.0100,0.011,0.0014
11.1,0.109051,0.109782,0.0,0.9,200,0.0129,0.008,0.0021
11.1,0.147511,0.148054,0.0,0.9,200,0.0132,0.007,0.0015
11.1,0.183889,0.184326,0.0,0.9,200,0.0278,0.007,0.0015
11.1,0.223174,0.223535,0.0,0.9,200,0.0292,0.006,0.0031
11.1,0.264437,0.2652,0.0,0.9,200,0.0244,0.007,0.0020
11.1,0.31486,0.315504,0.0,0.9,200,0.0219,0.006,0.0017
11.1,0.484174,0.484431,0.0,0.9,200,0.0108,0.004,0.0007
